"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3387","Visual check of the broken Home page","Tests","Sun Aug 17 03:21:24 UTC 2025","failed","Sun Aug 17 03:21:27 UTC 2025","TestVisual","test_Visual","",""
"","0","Navigate to iframe","Tests","Sun Aug 17 03:20:51 UTC 2025","broken","Sun Aug 17 03:20:51 UTC 2025","TestLogin","test_SocialMediaLinks","",""
"","2299","Visual check of the Home page after burger button click","Tests","Sun Aug 17 03:21:22 UTC 2025","skipped","Sun Aug 17 03:21:24 UTC 2025","TestVisual","test_Visual","",""
"","0","Contact list displays wright names","Tests","Sun Aug 17 03:20:46 UTC 2025","broken","Sun Aug 17 03:20:46 UTC 2025","TestContactList","test_ContactList","",""
"","0","Unsuccessful login","Tests","Sun Aug 17 03:20:51 UTC 2025","broken","Sun Aug 17 03:20:51 UTC 2025","TestLogin","test_Login","",""
"","0","Twitter link","Tests","Sun Aug 17 03:20:51 UTC 2025","broken","Sun Aug 17 03:20:51 UTC 2025","TestLogin","test_SocialMediaLinks","",""
"","10579","Contact list with 1 contact","Tests","Sun Aug 17 03:20:45 UTC 2025","passed","Sun Aug 17 03:20:55 UTC 2025","TestContactList","test_ContactList","",""
"","0","Contact list with 1 contact","Tests","Sun Aug 17 03:20:49 UTC 2025","broken","Sun Aug 17 03:20:49 UTC 2025","TestContactList","test_ContactList","",""
"","498","Unsuccessful login","Tests","Sun Aug 17 03:21:02 UTC 2025","passed","Sun Aug 17 03:21:03 UTC 2025","TestLogin","test_Login","",""
"","473","Visual check of the Home page","Tests","Sun Aug 17 03:21:21 UTC 2025","skipped","Sun Aug 17 03:21:22 UTC 2025","TestVisual","test_Visual","",""
"","313","Visual check of the Landing page","Tests","Sun Aug 17 03:21:21 UTC 2025","skipped","Sun Aug 17 03:21:21 UTC 2025","TestVisual","test_Visual","",""
"","249","Login logo is visible","Tests","Sun Aug 17 03:21:02 UTC 2025","passed","Sun Aug 17 03:21:02 UTC 2025","TestLandingPage","test_LandingPage","",""
"","1607","Check the landing page accessibility","Tests","Sun Aug 17 03:20:44 UTC 2025","failed","Sun Aug 17 03:20:46 UTC 2025","TestAccessibility","test_Accessibility","",""
"","796","Check the latest notification email subject","Tests","Sun Aug 17 03:21:01 UTC 2025","passed","Sun Aug 17 03:21:01 UTC 2025","TestEmailReader","test_EmailReader","",""
"","0","Unsuccessful login","Tests","Sun Aug 17 03:20:51 UTC 2025","broken","Sun Aug 17 03:20:51 UTC 2025","TestLogin","test_Login","",""
"","2051","Navigate to iframe","Tests","Sun Aug 17 03:21:19 UTC 2025","passed","Sun Aug 17 03:21:21 UTC 2025","TestLogin","test_SocialMediaLinks","",""
"","0","Unsuccessful login","Tests","Sun Aug 17 03:20:51 UTC 2025","broken","Sun Aug 17 03:20:51 UTC 2025","TestLogin","test_Login","",""
"","0","Unsuccessful login","Tests","Sun Aug 17 03:20:51 UTC 2025","broken","Sun Aug 17 03:20:51 UTC 2025","TestLogin","test_Login","",""
"","1430","Manually open new tab","Tests","Sun Aug 17 03:21:17 UTC 2025","failed","Sun Aug 17 03:21:19 UTC 2025","TestLogin","test_SocialMediaLinks","",""
"","190","Unsuccessful login","Tests","Sun Aug 17 03:21:03 UTC 2025","passed","Sun Aug 17 03:21:03 UTC 2025","TestLogin","test_Login","",""
"","10359","Successful login","Tests","Sun Aug 17 03:21:03 UTC 2025","failed","Sun Aug 17 03:21:14 UTC 2025","TestLogin","test_Login","",""
"","0","Successful login","Tests","Sun Aug 17 03:20:51 UTC 2025","broken","Sun Aug 17 03:20:51 UTC 2025","TestLogin","test_Login","",""
"","3222","Twitter link","Tests","Sun Aug 17 03:21:14 UTC 2025","failed","Sun Aug 17 03:21:17 UTC 2025","TestLogin","test_SocialMediaLinks","",""
"","0","Manually open new tab","Tests","Sun Aug 17 03:20:51 UTC 2025","broken","Sun Aug 17 03:20:51 UTC 2025","TestLogin","test_SocialMediaLinks","",""
"","208","Unsuccessful login","Tests","Sun Aug 17 03:21:03 UTC 2025","passed","Sun Aug 17 03:21:03 UTC 2025","TestLogin","test_Login","",""
"","10075","Visual check of the broken Home page after burger button click","Tests","Sun Aug 17 03:21:27 UTC 2025","broken","Sun Aug 17 03:21:37 UTC 2025","TestVisual","test_Visual","",""
"","1364","Contact list displays wright names","Tests","Sun Aug 17 03:20:38 UTC 2025","passed","Sun Aug 17 03:20:39 UTC 2025","TestContactList","test_ContactList","",""
"","0","Login logo is visible","Tests","Sun Aug 17 03:20:51 UTC 2025","broken","Sun Aug 17 03:20:51 UTC 2025","TestLandingPage","test_LandingPage","",""
"","252","Unsuccessful login","Tests","Sun Aug 17 03:21:03 UTC 2025","passed","Sun Aug 17 03:21:03 UTC 2025","TestLogin","test_Login","",""
"","718","Check the home page accessibility","Tests","Sun Aug 17 03:20:46 UTC 2025","failed","Sun Aug 17 03:20:46 UTC 2025","TestAccessibility","test_Accessibility","",""
