"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Landing page","1","1","","0"
"4","","1","Social Media Links","1","0","","0"
"0","","2","Home page","0","2","","0"
"5","","1","Login","4","0","","0"
"2","","0","Contact List","2","0","","0"
"0","","2","Accessibility","0","0","","0"
"0","","0","Emails","1","0","","0"
