"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","641","Check the home page accessibility","Tests","2026-09-13","failed","2026-09-13","TestAccessibility","test_Accessibility","",""
"","792","Check the latest notification email subject","Tests","2026-09-13","broken","2026-09-13","TestEmailReader","test_EmailReader","",""
"","0","Unsuccessful login","Tests","2026-09-13","broken","2026-09-13","TestLogin","test_Login","",""
"","0","Navigate to iframe","Tests","2026-09-13","broken","2026-09-13","TestLogin","test_SocialMediaLinks","",""
"","0","Unsuccessful login","Tests","2026-09-13","broken","2026-09-13","TestLogin","test_Login","",""
"","0","Unsuccessful login","Tests","2026-09-13","broken","2026-09-13","TestLogin","test_Login","",""
"","327","Visual check of the Landing page","Tests","2026-09-13","skipped","2026-09-13","TestVisual","test_Visual","",""
"","192","Unsuccessful login","Tests","2026-09-13","passed","2026-09-13","TestLogin","test_Login","",""
"","0","Manually open new tab","Tests","2026-09-13","broken","2026-09-13","TestLogin","test_SocialMediaLinks","",""
"","0","Contact list with 1 contact","Tests","2026-09-13","broken","2026-09-13","TestContactList","test_ContactList","",""
"","263","Login logo is visible","Tests","2026-09-13","passed","2026-09-13","TestLandingPage","test_LandingPage","",""
"","390","Visual check of the Home page","Tests","2026-09-13","skipped","2026-09-13","TestVisual","test_Visual","",""
"","2277","Visual check of the Home page after burger button click","Tests","2026-09-13","skipped","2026-09-13","TestVisual","test_Visual","",""
"","0","Successful login","Tests","2026-09-13","broken","2026-09-13","TestLogin","test_Login","",""
"","0","Login logo is visible","Tests","2026-09-13","broken","2026-09-13","TestLandingPage","test_LandingPage","",""
"","404","Successful login","Tests","2026-09-13","passed","2026-09-13","TestLogin","test_Login","",""
"","3293","Visual check of the broken Home page","Tests","2026-09-13","failed","2026-09-13","TestVisual","test_Visual","",""
"","0","Twitter link","Tests","2026-09-13","broken","2026-09-13","TestLogin","test_SocialMediaLinks","",""
"","2126","Navigate to iframe","Tests","2026-09-13","passed","2026-09-13","TestLogin","test_SocialMediaLinks","",""
"","0","Contact list displays wright names","Tests","2026-09-13","broken","2026-09-13","TestContactList","test_ContactList","",""
"","10054","Visual check of the broken Home page after burger button click","Tests","2026-09-13","broken","2026-09-13","TestVisual","test_Visual","",""
"","10663","Contact list with 1 contact","Tests","2026-09-13","passed","2026-09-13","TestContactList","test_ContactList","",""
"","182","Unsuccessful login","Tests","2026-09-13","passed","2026-09-13","TestLogin","test_Login","",""
"","10488","Twitter link","Tests","2026-09-13","broken","2026-09-13","TestLogin","test_SocialMediaLinks","",""
"","813","Check the landing page accessibility","Tests","2026-09-13","failed","2026-09-13","TestAccessibility","test_Accessibility","",""
"","275","Unsuccessful login","Tests","2026-09-13","passed","2026-09-13","TestLogin","test_Login","",""
"","0","Unsuccessful login","Tests","2026-09-13","broken","2026-09-13","TestLogin","test_Login","",""
"","508","Unsuccessful login","Tests","2026-09-13","passed","2026-09-13","TestLogin","test_Login","",""
"","1261","Contact list displays wright names","Tests","2026-09-13","broken","2026-09-13","TestContactList","test_ContactList","",""
"","10047","Manually open new tab","Tests","2026-09-13","broken","2026-09-13","TestLogin","test_SocialMediaLinks","",""
