"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"5","","1","Login","4","0","","0"
"6","","0","Social Media Links","0","0","","0"
"1","","1","Home page","0","2","","0"
"3","","0","Contact List","1","0","","0"
"1","","0","Emails","0","0","","0"
"1","","0","Landing page","1","1","","0"
"0","","2","Accessibility","0","0","","0"
