"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Successful login","Tests","2026-07-12","broken","2026-07-12","TestLogin","test_Login","",""
"","0","Twitter link","Tests","2026-07-12","broken","2026-07-12","TestLogin","test_SocialMediaLinks","",""
"","0","Manually open new tab","Tests","2026-07-12","broken","2026-07-12","TestLogin","test_SocialMediaLinks","",""
"","0","Navigate to iframe","Tests","2026-07-12","broken","2026-07-12","TestLogin","test_SocialMediaLinks","",""
"","439","Unsuccessful login","Tests","2026-07-12","passed","2026-07-12","TestLogin","test_Login","",""
"","568","Contact list displays wright names","Tests","2026-07-12","broken","2026-07-12","TestContactList","test_ContactList","",""
"","182","Login logo is visible","Tests","2026-07-12","passed","2026-07-12","TestLandingPage","test_LandingPage","",""
"","0","Contact list with 1 contact","Tests","2026-07-12","broken","2026-07-12","TestContactList","test_ContactList","",""
"","0","Unsuccessful login","Tests","2026-07-12","broken","2026-07-12","TestLogin","test_Login","",""
"","461","Check the latest notification email subject","Tests","2026-07-12","broken","2026-07-12","TestEmailReader","test_EmailReader","",""
"","10080","Visual check of the broken Home page after burger button click","Tests","2026-07-12","broken","2026-07-12","TestVisual","test_Visual","",""
"","1792","Navigate to iframe","Tests","2026-07-12","passed","2026-07-12","TestLogin","test_SocialMediaLinks","",""
"","213","Unsuccessful login","Tests","2026-07-12","passed","2026-07-12","TestLogin","test_Login","",""
"","0","Unsuccessful login","Tests","2026-07-12","broken","2026-07-12","TestLogin","test_Login","",""
"","511","Visual check of the Home page","Tests","2026-07-12","skipped","2026-07-12","TestVisual","test_Visual","",""
"","0","Login logo is visible","Tests","2026-07-12","broken","2026-07-12","TestLandingPage","test_LandingPage","",""
"","255","Unsuccessful login","Tests","2026-07-12","passed","2026-07-12","TestLogin","test_Login","",""
"","1753","Check the home page accessibility","Tests","2026-07-12","failed","2026-07-12","TestAccessibility","test_Accessibility","",""
"","397","Successful login","Tests","2026-07-12","passed","2026-07-12","TestLogin","test_Login","",""
"","0","Contact list displays wright names","Tests","2026-07-12","broken","2026-07-12","TestContactList","test_ContactList","",""
"","2267","Visual check of the Home page after burger button click","Tests","2026-07-12","skipped","2026-07-12","TestVisual","test_Visual","",""
"","0","Unsuccessful login","Tests","2026-07-12","broken","2026-07-12","TestLogin","test_Login","",""
"","10352","Contact list with 1 contact","Tests","2026-07-12","passed","2026-07-12","TestContactList","test_ContactList","",""
"","3089","Check the landing page accessibility","Tests","2026-07-12","failed","2026-07-12","TestAccessibility","test_Accessibility","",""
"","0","Unsuccessful login","Tests","2026-07-12","broken","2026-07-12","TestLogin","test_Login","",""
"","3338","Visual check of the broken Home page","Tests","2026-07-12","failed","2026-07-12","TestVisual","test_Visual","",""
"","243","Unsuccessful login","Tests","2026-07-12","passed","2026-07-12","TestLogin","test_Login","",""
"","256","Visual check of the Landing page","Tests","2026-07-12","skipped","2026-07-12","TestVisual","test_Visual","",""
"","32408","Twitter link","Tests","2026-07-12","broken","2026-07-12","TestLogin","test_SocialMediaLinks","",""
"","10022","Manually open new tab","Tests","2026-07-12","broken","2026-07-12","TestLogin","test_SocialMediaLinks","",""
