"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5554","Visual check of the broken Home page","Tests","Sun Mar 09 02:34:24 GMT 2025","failed","Sun Mar 09 02:34:30 GMT 2025","TestVisual","test_Visual","",""
"","2342","Navigate to iframe","Tests","Sun Mar 09 02:29:15 GMT 2025","passed","Sun Mar 09 02:29:18 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","213","Unsuccessful login","Tests","Sun Mar 09 02:29:10 GMT 2025","passed","Sun Mar 09 02:29:11 GMT 2025","TestLogin","test_Login","",""
"","2310","Visual check of the Home page after burger button click","Tests","Sun Mar 09 02:34:22 GMT 2025","skipped","Sun Mar 09 02:34:24 GMT 2025","TestVisual","test_Visual","",""
"","3746","Twitter link","Tests","Sun Mar 09 02:34:13 GMT 2025","failed","Sun Mar 09 02:34:17 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","264","Unsuccessful login","Tests","Sun Mar 09 02:34:11 GMT 2025","passed","Sun Mar 09 02:34:12 GMT 2025","TestLogin","test_Login","",""
"","467","Visual check of the Home page","Tests","Sun Mar 09 02:34:21 GMT 2025","skipped","Sun Mar 09 02:34:22 GMT 2025","TestVisual","test_Visual","",""
"","310","Visual check of the Landing page","Tests","Sun Mar 09 02:34:21 GMT 2025","skipped","Sun Mar 09 02:34:21 GMT 2025","TestVisual","test_Visual","",""
"","363","Unsuccessful login","Tests","Sun Mar 09 02:34:11 GMT 2025","passed","Sun Mar 09 02:34:11 GMT 2025","TestLogin","test_Login","",""
"","6191","Visual check of the broken Home page after burger button click","Tests","Sun Mar 09 02:34:30 GMT 2025","failed","Sun Mar 09 02:34:36 GMT 2025","TestVisual","test_Visual","",""
"","780","Check the home page accessibility","Tests","Sun Mar 09 02:28:44 GMT 2025","failed","Sun Mar 09 02:28:45 GMT 2025","TestAccessibility","test_Accessibility","",""
"","401","Unsuccessful login","Tests","Sun Mar 09 02:29:10 GMT 2025","passed","Sun Mar 09 02:29:10 GMT 2025","TestLogin","test_Login","",""
"","750","Successful login","Tests","Sun Mar 09 02:34:12 GMT 2025","failed","Sun Mar 09 02:34:12 GMT 2025","TestLogin","test_Login","",""
"","797","Check the latest notification email subject","Tests","Sun Mar 09 02:34:06 GMT 2025","passed","Sun Mar 09 02:34:06 GMT 2025","TestEmailReader","test_EmailReader","",""
"","10406","Contact list with 1 contact","Tests","Sun Mar 09 02:28:51 GMT 2025","passed","Sun Mar 09 02:29:01 GMT 2025","TestContactList","test_ContactList","",""
"","1875","Login logo is visible","Tests","Sun Mar 09 02:34:07 GMT 2025","passed","Sun Mar 09 02:34:09 GMT 2025","TestLandingPage","test_LandingPage","",""
"","0","Contact list displays wright names","Tests","Sun Mar 09 02:28:23 GMT 2025","broken","Sun Mar 09 02:28:23 GMT 2025","TestContactList","test_ContactList","",""
"","529","Successful login","Tests","Sun Mar 09 02:29:11 GMT 2025","failed","Sun Mar 09 02:29:11 GMT 2025","TestLogin","test_Login","",""
"","0","Contact list with 1 contact","Tests","Sun Mar 09 02:34:05 GMT 2025","broken","Sun Mar 09 02:34:05 GMT 2025","TestContactList","test_ContactList","",""
"","1697","Check the landing page accessibility","Tests","Sun Mar 09 02:28:42 GMT 2025","failed","Sun Mar 09 02:28:44 GMT 2025","TestAccessibility","test_Accessibility","",""
"","532","Unsuccessful login","Tests","Sun Mar 09 02:29:09 GMT 2025","passed","Sun Mar 09 02:29:10 GMT 2025","TestLogin","test_Login","",""
"","214","Login logo is visible","Tests","Sun Mar 09 02:29:09 GMT 2025","passed","Sun Mar 09 02:29:09 GMT 2025","TestLandingPage","test_LandingPage","",""
"","1137","Manually open new tab","Tests","Sun Mar 09 02:29:14 GMT 2025","broken","Sun Mar 09 02:29:15 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","1566","Manually open new tab","Tests","Sun Mar 09 02:34:17 GMT 2025","failed","Sun Mar 09 02:34:18 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","2511","Twitter link","Tests","Sun Mar 09 02:29:11 GMT 2025","failed","Sun Mar 09 02:29:14 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","2152","Navigate to iframe","Tests","Sun Mar 09 02:34:18 GMT 2025","passed","Sun Mar 09 02:34:21 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","188","Unsuccessful login","Tests","Sun Mar 09 02:29:10 GMT 2025","passed","Sun Mar 09 02:29:10 GMT 2025","TestLogin","test_Login","",""
"","258","Unsuccessful login","Tests","Sun Mar 09 02:34:11 GMT 2025","passed","Sun Mar 09 02:34:11 GMT 2025","TestLogin","test_Login","",""
"","736","Unsuccessful login","Tests","Sun Mar 09 02:34:10 GMT 2025","passed","Sun Mar 09 02:34:11 GMT 2025","TestLogin","test_Login","",""
"","497","Contact list displays wright names","Tests","Sun Mar 09 02:28:45 GMT 2025","passed","Sun Mar 09 02:28:45 GMT 2025","TestContactList","test_ContactList","",""
