"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2648","Twitter link","Tests","Sun Apr 20 03:03:59 GMT 2025","passed","Sun Apr 20 03:04:02 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","2508","Navigate to iframe","Tests","Sun Apr 20 03:04:18 GMT 2025","passed","Sun Apr 20 03:04:20 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","1341","Manually open new tab","Tests","Sun Apr 20 03:04:02 GMT 2025","failed","Sun Apr 20 03:04:03 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","474","Successful login","Tests","Sun Apr 20 03:04:12 GMT 2025","passed","Sun Apr 20 03:04:13 GMT 2025","TestLogin","test_Login","",""
"","2396","Navigate to iframe","Tests","Sun Apr 20 03:04:03 GMT 2025","passed","Sun Apr 20 03:04:05 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","540","Unsuccessful login","Tests","Sun Apr 20 03:04:11 GMT 2025","passed","Sun Apr 20 03:04:11 GMT 2025","TestLogin","test_Login","",""
"","1564","Manually open new tab","Tests","Sun Apr 20 03:04:16 GMT 2025","failed","Sun Apr 20 03:04:18 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","254","Unsuccessful login","Tests","Sun Apr 20 03:04:12 GMT 2025","passed","Sun Apr 20 03:04:12 GMT 2025","TestLogin","test_Login","",""
"","10078","Visual check of the broken Home page after burger button click","Tests","Sun Apr 20 03:04:27 GMT 2025","broken","Sun Apr 20 03:04:37 GMT 2025","TestVisual","test_Visual","",""
"","2316","Visual check of the Home page after burger button click","Tests","Sun Apr 20 03:04:21 GMT 2025","skipped","Sun Apr 20 03:04:24 GMT 2025","TestVisual","test_Visual","",""
"","11014","Contact list with 1 contact","Tests","Sun Apr 20 03:03:50 GMT 2025","passed","Sun Apr 20 03:04:01 GMT 2025","TestContactList","test_ContactList","",""
"","3219","Visual check of the broken Home page","Tests","Sun Apr 20 03:04:24 GMT 2025","failed","Sun Apr 20 03:04:27 GMT 2025","TestVisual","test_Visual","",""
"","10885","Contact list with 1 contact","Tests","Sun Apr 20 03:03:28 GMT 2025","passed","Sun Apr 20 03:03:38 GMT 2025","TestContactList","test_ContactList","",""
"","268","Visual check of the Landing page","Tests","Sun Apr 20 03:04:20 GMT 2025","skipped","Sun Apr 20 03:04:21 GMT 2025","TestVisual","test_Visual","",""
"","511","Visual check of the Home page","Tests","Sun Apr 20 03:04:21 GMT 2025","skipped","Sun Apr 20 03:04:21 GMT 2025","TestVisual","test_Visual","",""
"","1765","Contact list displays wright names","Tests","Sun Apr 20 03:03:43 GMT 2025","passed","Sun Apr 20 03:03:45 GMT 2025","TestContactList","test_ContactList","",""
"","191","Login logo is visible","Tests","Sun Apr 20 03:03:47 GMT 2025","passed","Sun Apr 20 03:03:47 GMT 2025","TestLandingPage","test_LandingPage","",""
"","299","Unsuccessful login","Tests","Sun Apr 20 03:04:11 GMT 2025","passed","Sun Apr 20 03:04:12 GMT 2025","TestLogin","test_Login","",""
"","421","Unsuccessful login","Tests","Sun Apr 20 03:03:47 GMT 2025","passed","Sun Apr 20 03:03:47 GMT 2025","TestLogin","test_Login","",""
"","804","Check the home page accessibility","Tests","Sun Apr 20 03:03:31 GMT 2025","failed","Sun Apr 20 03:03:31 GMT 2025","TestAccessibility","test_Accessibility","",""
"","215","Unsuccessful login","Tests","Sun Apr 20 03:03:48 GMT 2025","passed","Sun Apr 20 03:03:48 GMT 2025","TestLogin","test_Login","",""
"","2826","Twitter link","Tests","Sun Apr 20 03:04:13 GMT 2025","failed","Sun Apr 20 03:04:16 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","1788","Check the latest notification email subject","Tests","Sun Apr 20 03:04:07 GMT 2025","passed","Sun Apr 20 03:04:09 GMT 2025","TestEmailReader","test_EmailReader","",""
"","1014","Check the landing page accessibility","Tests","Sun Apr 20 03:03:30 GMT 2025","failed","Sun Apr 20 03:03:31 GMT 2025","TestAccessibility","test_Accessibility","",""
"","672","Login logo is visible","Tests","Sun Apr 20 03:04:09 GMT 2025","passed","Sun Apr 20 03:04:10 GMT 2025","TestLandingPage","test_LandingPage","",""
"","204","Unsuccessful login","Tests","Sun Apr 20 03:03:48 GMT 2025","passed","Sun Apr 20 03:03:48 GMT 2025","TestLogin","test_Login","",""
"","255","Unsuccessful login","Tests","Sun Apr 20 03:04:11 GMT 2025","passed","Sun Apr 20 03:04:11 GMT 2025","TestLogin","test_Login","",""
"","10434","Successful login","Tests","Sun Apr 20 03:03:48 GMT 2025","failed","Sun Apr 20 03:03:59 GMT 2025","TestLogin","test_Login","",""
"","196","Unsuccessful login","Tests","Sun Apr 20 03:03:47 GMT 2025","passed","Sun Apr 20 03:03:48 GMT 2025","TestLogin","test_Login","",""
"","1425","Contact list displays wright names","Tests","Sun Apr 20 03:03:21 GMT 2025","passed","Sun Apr 20 03:03:22 GMT 2025","TestContactList","test_ContactList","",""
