"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","3","Social Media Links","2","0","","0"
"0","","1","Login","9","0","","0"
"0","","2","Accessibility","0","0","","0"
"1","","0","Contact List","3","0","","0"
"0","","0","Landing page","2","1","","0"
"0","","0","Emails","1","0","","0"
"0","","2","Home page","0","2","","0"
