"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1132","Manually open new tab","Tests","Sun Feb 02 02:41:49 GMT 2025","broken","Sun Feb 02 02:41:51 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","394","Unsuccessful login","Tests","Sun Feb 02 02:42:19 GMT 2025","passed","Sun Feb 02 02:42:19 GMT 2025","TestLogin","test_Login","",""
"","203","Unsuccessful login","Tests","Sun Feb 02 02:41:47 GMT 2025","passed","Sun Feb 02 02:41:47 GMT 2025","TestLogin","test_Login","",""
"","481","Check the landing page accessibility","Tests","Sun Feb 02 02:41:21 GMT 2025","failed","Sun Feb 02 02:41:22 GMT 2025","TestAccessibility","test_Accessibility","",""
"","210","Unsuccessful login","Tests","Sun Feb 02 02:41:46 GMT 2025","passed","Sun Feb 02 02:41:47 GMT 2025","TestLogin","test_Login","",""
"","10308","Contact list with 1 contact","Tests","Sun Feb 02 02:41:28 GMT 2025","passed","Sun Feb 02 02:41:39 GMT 2025","TestContactList","test_ContactList","",""
"","632","Contact list displays wright names","Tests","Sun Feb 02 02:41:23 GMT 2025","passed","Sun Feb 02 02:41:23 GMT 2025","TestContactList","test_ContactList","",""
"","1559","Login logo is visible","Tests","Sun Feb 02 02:42:16 GMT 2025","passed","Sun Feb 02 02:42:18 GMT 2025","TestLandingPage","test_LandingPage","",""
"","203","Unsuccessful login","Tests","Sun Feb 02 02:41:46 GMT 2025","passed","Sun Feb 02 02:41:46 GMT 2025","TestLogin","test_Login","",""
"","1883","Navigate to iframe","Tests","Sun Feb 02 02:41:51 GMT 2025","passed","Sun Feb 02 02:41:53 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","1315","Manually open new tab","Tests","Sun Feb 02 02:42:26 GMT 2025","failed","Sun Feb 02 02:42:27 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","440","Check the home page accessibility","Tests","Sun Feb 02 02:41:22 GMT 2025","failed","Sun Feb 02 02:41:22 GMT 2025","TestAccessibility","test_Accessibility","",""
"","414","Check the latest notification email subject","Tests","Sun Feb 02 02:42:15 GMT 2025","passed","Sun Feb 02 02:42:16 GMT 2025","TestEmailReader","test_EmailReader","",""
"","1738","Contact list displays wright names","Tests","Sun Feb 02 02:41:52 GMT 2025","broken","Sun Feb 02 02:41:54 GMT 2025","TestContactList","test_ContactList","",""
"","450","Unsuccessful login","Tests","Sun Feb 02 02:41:46 GMT 2025","passed","Sun Feb 02 02:41:46 GMT 2025","TestLogin","test_Login","",""
"","428","Visual check of the Home page","Tests","Sun Feb 02 02:42:30 GMT 2025","skipped","Sun Feb 02 02:42:31 GMT 2025","TestVisual","test_Visual","",""
"","467","Successful login","Tests","Sun Feb 02 02:41:47 GMT 2025","failed","Sun Feb 02 02:41:47 GMT 2025","TestLogin","test_Login","",""
"","212","Login logo is visible","Tests","Sun Feb 02 02:41:45 GMT 2025","passed","Sun Feb 02 02:41:45 GMT 2025","TestLandingPage","test_LandingPage","",""
"","322","Visual check of the Landing page","Tests","Sun Feb 02 02:42:30 GMT 2025","skipped","Sun Feb 02 02:42:30 GMT 2025","TestVisual","test_Visual","",""
"","2297","Visual check of the Home page after burger button click","Tests","Sun Feb 02 02:42:31 GMT 2025","skipped","Sun Feb 02 02:42:33 GMT 2025","TestVisual","test_Visual","",""
"","6273","Visual check of the broken Home page after burger button click","Tests","Sun Feb 02 02:42:38 GMT 2025","failed","Sun Feb 02 02:42:45 GMT 2025","TestVisual","test_Visual","",""
"","510","Unsuccessful login","Tests","Sun Feb 02 02:42:18 GMT 2025","passed","Sun Feb 02 02:42:19 GMT 2025","TestLogin","test_Login","",""
"","241","Unsuccessful login","Tests","Sun Feb 02 02:42:19 GMT 2025","passed","Sun Feb 02 02:42:20 GMT 2025","TestLogin","test_Login","",""
"","606","Successful login","Tests","Sun Feb 02 02:42:20 GMT 2025","passed","Sun Feb 02 02:42:20 GMT 2025","TestLogin","test_Login","",""
"","310","Unsuccessful login","Tests","Sun Feb 02 02:42:19 GMT 2025","passed","Sun Feb 02 02:42:19 GMT 2025","TestLogin","test_Login","",""
"","10347","Contact list with 1 contact","Tests","Sun Feb 02 02:41:59 GMT 2025","passed","Sun Feb 02 02:42:10 GMT 2025","TestContactList","test_ContactList","",""
"","5523","Visual check of the broken Home page","Tests","Sun Feb 02 02:42:33 GMT 2025","failed","Sun Feb 02 02:42:38 GMT 2025","TestVisual","test_Visual","",""
"","5258","Twitter link","Tests","Sun Feb 02 02:42:21 GMT 2025","failed","Sun Feb 02 02:42:26 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","2005","Twitter link","Tests","Sun Feb 02 02:41:47 GMT 2025","failed","Sun Feb 02 02:41:49 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","2215","Navigate to iframe","Tests","Sun Feb 02 02:42:27 GMT 2025","passed","Sun Feb 02 02:42:30 GMT 2025","TestLogin","test_SocialMediaLinks","",""
