"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Unsuccessful login","Tests","Sun Jun 29 03:24:35 GMT 2025","passed","Sun Jun 29 03:24:35 GMT 2025","TestLogin","test_Login","",""
"","3391","Visual check of the broken Home page","Tests","Sun Jun 29 03:24:47 GMT 2025","failed","Sun Jun 29 03:24:51 GMT 2025","TestVisual","test_Visual","",""
"","2166","Navigate to iframe","Tests","Sun Jun 29 03:24:40 GMT 2025","passed","Sun Jun 29 03:24:42 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","1345","Manually open new tab","Tests","Sun Jun 29 03:24:39 GMT 2025","failed","Sun Jun 29 03:24:40 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","10339","Successful login","Tests","Sun Jun 29 03:24:27 GMT 2025","failed","Sun Jun 29 03:24:37 GMT 2025","TestLogin","test_Login","",""
"","10779","Contact list with 1 contact","Tests","Sun Jun 29 03:24:11 GMT 2025","passed","Sun Jun 29 03:24:21 GMT 2025","TestContactList","test_ContactList","",""
"","2316","Visual check of the Home page after burger button click","Tests","Sun Jun 29 03:24:45 GMT 2025","skipped","Sun Jun 29 03:24:47 GMT 2025","TestVisual","test_Visual","",""
"","475","Visual check of the Home page","Tests","Sun Jun 29 03:24:44 GMT 2025","skipped","Sun Jun 29 03:24:45 GMT 2025","TestVisual","test_Visual","",""
"","10076","Visual check of the broken Home page after burger button click","Tests","Sun Jun 29 03:24:51 GMT 2025","broken","Sun Jun 29 03:25:01 GMT 2025","TestVisual","test_Visual","",""
"","267","Unsuccessful login","Tests","Sun Jun 29 03:24:34 GMT 2025","passed","Sun Jun 29 03:24:34 GMT 2025","TestLogin","test_Login","",""
"","1453","Contact list displays wright names","Tests","Sun Jun 29 03:24:00 GMT 2025","passed","Sun Jun 29 03:24:02 GMT 2025","TestContactList","test_ContactList","",""
"","2051","Navigate to iframe","Tests","Sun Jun 29 03:24:42 GMT 2025","passed","Sun Jun 29 03:24:44 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","959","Check the home page accessibility","Tests","Sun Jun 29 03:23:59 GMT 2025","failed","Sun Jun 29 03:24:00 GMT 2025","TestAccessibility","test_Accessibility","",""
"","2095","Check the landing page accessibility","Tests","Sun Jun 29 03:23:57 GMT 2025","failed","Sun Jun 29 03:23:59 GMT 2025","TestAccessibility","test_Accessibility","",""
"","1117","Manually open new tab","Tests","Sun Jun 29 03:24:41 GMT 2025","failed","Sun Jun 29 03:24:42 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","10668","Contact list with 1 contact","Tests","Sun Jun 29 03:24:07 GMT 2025","passed","Sun Jun 29 03:24:18 GMT 2025","TestContactList","test_ContactList","",""
"","181","Login logo is visible","Tests","Sun Jun 29 03:24:25 GMT 2025","passed","Sun Jun 29 03:24:26 GMT 2025","TestLandingPage","test_LandingPage","",""
"","679","Login logo is visible","Tests","Sun Jun 29 03:24:29 GMT 2025","passed","Sun Jun 29 03:24:30 GMT 2025","TestLandingPage","test_LandingPage","",""
"","1706","Check the latest notification email subject","Tests","Sun Jun 29 03:24:27 GMT 2025","passed","Sun Jun 29 03:24:28 GMT 2025","TestEmailReader","test_EmailReader","",""
"","295","Unsuccessful login","Tests","Sun Jun 29 03:24:27 GMT 2025","passed","Sun Jun 29 03:24:27 GMT 2025","TestLogin","test_Login","",""
"","199","Unsuccessful login","Tests","Sun Jun 29 03:24:26 GMT 2025","passed","Sun Jun 29 03:24:27 GMT 2025","TestLogin","test_Login","",""
"","2831","Twitter link","Tests","Sun Jun 29 03:24:36 GMT 2025","failed","Sun Jun 29 03:24:39 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","469","Unsuccessful login","Tests","Sun Jun 29 03:24:26 GMT 2025","passed","Sun Jun 29 03:24:26 GMT 2025","TestLogin","test_Login","",""
"","284","Visual check of the Landing page","Tests","Sun Jun 29 03:24:44 GMT 2025","skipped","Sun Jun 29 03:24:44 GMT 2025","TestVisual","test_Visual","",""
"","2732","Twitter link","Tests","Sun Jun 29 03:24:38 GMT 2025","failed","Sun Jun 29 03:24:41 GMT 2025","TestLogin","test_SocialMediaLinks","",""
"","217","Unsuccessful login","Tests","Sun Jun 29 03:24:27 GMT 2025","passed","Sun Jun 29 03:24:27 GMT 2025","TestLogin","test_Login","",""
"","575","Successful login","Tests","Sun Jun 29 03:24:35 GMT 2025","passed","Sun Jun 29 03:24:35 GMT 2025","TestLogin","test_Login","",""
"","2051","Contact list displays wright names","Tests","Sun Jun 29 03:24:03 GMT 2025","passed","Sun Jun 29 03:24:05 GMT 2025","TestContactList","test_ContactList","",""
"","3528","Unsuccessful login","Tests","Sun Jun 29 03:24:30 GMT 2025","passed","Sun Jun 29 03:24:34 GMT 2025","TestLogin","test_Login","",""
"","349","Unsuccessful login","Tests","Sun Jun 29 03:24:34 GMT 2025","passed","Sun Jun 29 03:24:35 GMT 2025","TestLogin","test_Login","",""
